Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,1,2,0,0,3676,6281,195,120,0,2,0
1,0,2,0,1,3196,4434,487,360,1,0,0
0,1,1,0,0,14297,2584,405,120,1,2,1
0,1,3,1,0,4787,67,79,300,1,0,1
1,0,2,0,1,9432,1596,94,120,1,1,1
0,0,0,1,1,11653,5660,324,120,1,2,0
1,0,0,1,1,9927,4478,83,120,1,0,1
0,1,0,0,1,5318,18,190,240,1,1,1
1,0,3,1,1,10858,2730,476,120,1,1,0
0,1,1,0,0,8689,3521,367,180,0,1,0
1,1,0,0,0,4176,6217,423,180,1,2,1
0,1,3,0,1,5743,572,270,360,1,2,1
1,0,2,1,1,10792,5395,405,240,1,1,0
1,0,1,0,1,12844,2258,71,360,1,2,1
0,1,2,1,1,6422,2902,229,180,1,0,1
0,0,3,0,1,5824,6039,485,180,1,1,1
1,0,0,0,0,14098,650,416,300,1,1,1
0,0,0,0,0,11171,5741,469,120,0,2,0
1,1,3,1,0,4451,5089,378,180,1,1,0
0,1,0,1,0,2628,6838,280,360,1,0,0
1,0,1,1,1,11821,2587,452,360,1,2,0
1,1,3,0,0,9778,3262,87,120,1,2,1
1,0,2,0,1,5696,1338,119,120,1,1,1
1,0,3,1,1,13622,4996,165,300,1,1,1
1,0,1,1,1,5674,3634,288,240,1,1,0
1,0,1,1,0,5929,5780,384,360,1,2,0
0,1,3,1,1,4765,2827,490,120,1,1,0
0,1,3,1,0,6369,5681,197,360,1,0,1
0,1,0,1,0,14972,6019,58,120,0,1,0
1,0,1,0,1,10307,5877,337,180,1,1,1
1,0,3,1,1,6956,5232,437,360,1,2,0
1,0,3,0,1,12195,2217,99,180,1,1,1
1,1,1,0,0,2692,3539,387,360,0,2,0
0,0,3,1,1,5162,6040,54,240,1,1,1
0,1,0,1,0,3105,1037,453,300,0,0,0
1,1,1,0,1,5008,5834,392,180,1,0,1
0,1,0,1,1,4161,4383,175,120,1,2,1
0,1,0,1,0,10345,3978,124,240,1,2,1
1,1,0,0,0,5699,6332,214,360,1,1,1
0,1,0,0,0,14602,2961,327,180,1,1,1
1,0,1,0,0,5786,3226,491,360,1,0,1
0,0,0,1,0,11256,5686,373,360,1,1,0
1,1,0,0,0,6200,6837,349,360,1,0,1
1,1,3,1,1,3913,5841,339,300,1,2,0
1,0,1,0,1,11408,6614,126,300,1,1,1
1,1,1,0,0,7520,1098,347,120,1,2,1
0,1,2,0,1,12593,2324,186,180,1,1,1
1,0,1,1,0,3772,939,155,240,1,0,0
1,1,1,1,1,12152,3716,144,240,1,2,1
1,1,2,0,1,4780,3414,184,240,1,2,1
0,1,1,0,0,14996,1448,117,360,1,1,1
1,0,1,0,0,9423,570,196,300,1,2,1
0,0,1,1,0,14938,2904,208,180,1,0,1
1,0,1,0,1,4871,5096,433,360,0,2,0
0,1,2,1,0,2660,5301,212,300,1,2,0
0,1,1,0,1,8242,2505,490,300,1,1,1
1,0,1,0,0,12827,917,390,180,1,2,1
0,1,2,0,1,12521,1874,238,180,1,1,1
1,1,3,0,1,14146,4928,464,180,1,1,1
1,1,0,0,0,12642,6982,388,360,1,2,1
1,1,3,0,1,3132,6336,144,120,0,0,0
0,1,2,1,1,2699,1678,230,180,1,1,0
0,0,0,0,0,9470,615,337,120,1,2,1
1,1,2,1,1,12230,4501,371,360,1,1,0
1,0,2,0,0,8297,1749,236,120,1,0,1
0,1,1,0,0,14839,3825,421,240,1,0,1
1,0,0,1,0,9812,6864,187,120,1,1,1
1,1,1,0,0,14692,4188,179,180,0,0,1
1,0,0,1,1,6557,2477,243,360,1,2,1
0,1,2,1,1,4179,4749,365,180,0,2,0
0,0,2,0,1,13030,3505,322,240,1,1,1
0,1,3,1,0,11065,3475,401,180,1,0,0
1,0,0,1,1,10275,4529,193,180,1,2,1
1,1,1,0,1,3422,1135,65,180,1,2,1
1,0,3,1,0,12867,4000,351,300,1,2,0
0,0,3,0,0,5180,374,472,240,1,1,1
1,1,3,0,1,6316,5162,294,180,0,1,0
1,1,1,0,0,14167,206,464,180,1,2,1
1,0,3,0,0,8696,4875,156,180,0,2,1
1,1,1,1,0,11583,1319,137,360,1,0,1
0,0,3,0,0,13410,1141,178,300,1,0,1
0,0,1,0,1,14399,4627,444,360,1,0,1
1,0,2,1,0,2614,6309,424,300,1,1,0
0,1,2,0,0,13163,2690,390,180,1,2,1
0,0,2,0,0,13757,3255,53,240,1,1,1
1,0,2,1,0,13768,89,376,120,1,2,0
1,1,2,1,0,6570,5213,459,120,1,0,0
0,1,3,1,0,2270,4108,416,180,1,0,0
1,1,3,1,0,14258,3020,355,360,1,0,0
0,1,3,1,0,4468,1857,445,240,1,0,0
1,0,1,1,1,11582,804,144,300,1,2,1
0,0,1,1,0,13546,944,258,180,1,0,0
1,0,1,0,1,14327,2789,274,240,0,2,0
0,0,1,1,0,5607,5953,397,240,0,2,0
0,1,2,1,0,12775,3875,370,300,1,1,0
0,0,2,1,0,14265,1610,96,240,1,0,1
1,0,2,0,0,5075,2923,230,360,0,0,1
0,1,0,0,1,14098,6055,155,360,1,1,1
0,0,3,1,0,2289,3882,248,360,1,2,0
1,0,1,1,0,10120,3221,435,240,1,0,0
1,0,1,1,1,12672,6803,155,360,1,2,1
0,0,2,0,1,8614,5148,329,300,0,1,0
0,0,1,0,0,5252,4391,309,240,1,2,1
1,0,1,1,1,9415,5021,157,120,1,0,1
1,1,3,0,1,8771,4735,68,240,1,2,1
1,1,2,1,1,2278,2387,459,300,1,2,0
1,0,3,0,0,13116,4723,345,120,1,0,1
1,0,0,0,0,2580,6582,355,240,1,0,0
0,1,0,1,0,6958,5263,220,360,0,2,0
1,0,0,1,1,10445,941,380,180,1,2,0
0,0,2,1,0,6276,4925,244,180,1,1,1
0,0,1,1,1,9997,5866,61,360,0,0,0
0,1,2,0,0,6776,2566,244,180,1,2,1
1,0,2,0,0,2824,975,332,180,1,0,0
0,1,1,0,1,5832,954,418,360,1,1,1
0,0,3,1,0,10891,1262,231,360,1,2,1
1,1,0,0,1,7445,5047,499,240,1,2,1
0,1,3,1,1,3380,943,354,240,0,2,0
0,0,0,0,0,14088,2202,193,360,1,0,1
1,1,2,1,1,11865,5300,435,300,1,1,0
0,0,0,1,0,12919,6231,365,180,1,0,0
0,1,2,0,0,8534,3327,231,240,1,2,1
0,0,3,1,1,5156,5630,79,180,1,1,1
1,0,2,1,0,13580,5192,133,120,0,2,0
1,1,3,0,1,6307,4274,215,360,1,2,1
1,0,1,1,0,7634,2259,333,300,0,0,0
0,0,1,1,0,10575,1828,330,120,0,2,0
0,1,1,1,0,7810,1257,145,120,1,1,1
1,0,2,0,0,10533,464,430,120,1,2,1
0,0,1,0,0,7934,5870,315,360,1,2,1
0,1,0,1,1,12179,3294,493,240,0,0,0
1,1,3,0,1,14251,6774,347,360,0,1,0
1,0,3,1,1,5109,6968,345,240,0,0,0
0,0,0,1,1,6082,1230,274,120,0,2,0
0,1,2,1,1,14707,2654,382,120,1,0,0
0,1,2,1,1,12990,884,410,300,1,0,0
1,0,3,1,0,5240,3805,423,240,0,0,0
1,1,1,0,0,12180,6509,91,120,1,0,1
1,0,2,1,1,8028,6419,352,180,1,2,0
1,0,2,0,1,13606,6523,470,300,0,2,0
0,0,0,0,0,3849,5428,295,360,0,1,0
1,0,0,1,0,10497,5750,257,300,1,0,0
1,0,1,1,0,13805,5040,286,180,1,0,0
1,1,2,0,1,4749,3856,71,240,1,1,1
1,1,2,0,1,8680,3135,234,360,0,0,1
1,1,0,0,1,11327,6953,291,360,1,1,1
0,1,2,1,0,2205,924,412,240,1,2,0
0,0,3,0,0,9352,6034,332,300,1,1,1
1,0,0,1,1,6591,4589,90,120,1,0,1
0,0,1,1,1,5450,1546,385,300,1,1,0
1,0,0,1,0,9214,6065,211,180,1,2,1
1,1,2,0,0,5811,1094,209,120,1,0,1
0,0,1,1,0,13814,2411,138,300,1,2,1
0,0,0,1,0,13791,2617,371,240,0,2,0
1,1,3,1,1,12743,5921,61,180,1,1,1
1,1,3,1,0,7141,762,473,180,0,2,0
1,1,0,1,0,14500,2323,122,180,1,0,1
0,1,3,0,0,10501,4145,125,120,1,2,1
1,0,3,1,1,4708,2775,395,360,1,2,0
1,0,3,1,1,3991,5001,250,120,1,1,0
1,1,1,0,0,10463,4659,59,300,1,2,1
0,0,3,1,0,13834,4878,401,360,1,1,0
1,0,3,0,0,14278,6628,275,300,1,1,1
1,0,3,1,1,12014,3155,225,360,1,0,1
0,1,1,0,1,5273,3970,325,120,0,0,0
1,0,0,0,1,6538,2040,88,180,0,0,1
1,1,2,1,0,14541,5927,109,240,1,0,1
0,0,3,1,1,10712,583,115,180,1,1,1
1,0,0,1,0,11168,5415,370,120,1,2,0
0,0,3,0,0,5722,4331,484,360,1,0,1
0,1,1,0,0,5551,2103,173,180,1,0,1
1,0,0,0,1,14297,1942,213,120,1,0,1
1,1,1,1,0,12965,4455,457,300,0,2,0
1,1,3,0,1,12744,6026,460,240,1,0,1
1,1,3,0,1,4832,109,435,180,1,2,1
0,0,1,1,0,14099,191,208,360,1,1,1
1,0,2,0,0,7679,903,106,300,1,1,1
0,0,1,0,1,8579,5212,127,120,0,1,1
1,0,3,1,0,2152,861,243,240,0,2,0
1,1,1,0,1,7754,6711,334,360,1,0,1
1,1,2,1,0,13156,1083,64,120,1,0,1
0,1,1,1,1,13108,649,61,120,0,0,0
1,0,2,1,1,4800,4134,150,180,0,0,0
1,1,2,1,1,7310,3611,205,180,1,0,1
1,0,1,1,1,11944,636,389,360,0,2,0
1,1,1,0,0,4610,1036,174,120,1,1,1
0,0,0,0,0,14067,4131,408,180,1,0,1
1,0,3,1,1,3104,2148,329,240,1,1,0
0,1,2,1,1,12728,3865,454,240,0,2,0
0,1,0,0,0,9361,3157,443,120,1,2,1
0,1,1,1,0,6199,3587,159,180,1,0,1
0,1,3,1,0,5854,3294,383,360,1,2,0
0,0,0,1,0,9263,5457,406,360,1,1,0
0,1,2,0,0,13686,6079,195,360,0,0,1
1,1,0,0,0,3914,4261,265,240,1,0,0
0,1,2,1,1,9365,2430,447,180,1,1,0
0,0,1,1,0,5072,1879,211,180,1,0,1
0,0,3,0,0,11198,3966,177,240,1,0,1
1,1,3,0,1,2406,6933,363,360,1,1,0
1,0,3,1,0,2166,3713,381,360,1,0,0
0,1,1,1,0,2508,4126,199,120,0,0,0
1,0,2,0,0,3661,4106,85,300,1,1,1
0,0,1,0,0,5664,2011,222,180,1,2,1
0,0,3,0,0,5489,3373,469,180,1,1,1
1,0,1,1,1,2680,2143,71,180,1,0,0
0,1,1,0,0,4524,2500,255,300,1,1,1
1,1,1,1,1,4120,6335,176,120,0,0,0
1,1,2,0,1,7260,4581,385,300,0,0,0
0,0,0,0,0,14869,1289,494,360,0,1,0
0,1,0,0,1,6357,1447,405,360,0,0,0
1,1,1,0,0,3363,3199,489,180,1,2,0
0,1,0,1,1,11523,6381,266,240,1,0,0
0,0,0,1,1,4292,1943,145,180,1,1,1
0,0,1,0,0,3538,6059,466,240,1,2,0
1,0,1,1,0,5408,3183,478,300,1,2,0
1,1,3,0,0,9742,5947,213,360,1,0,1
0,1,0,0,0,10752,5565,197,240,0,1,1
1,1,2,0,0,11291,5462,67,300,1,0,1
1,0,1,0,1,3903,3216,343,360,1,0,0
1,0,3,1,1,2174,3136,244,240,1,1,0
1,1,2,0,1,12348,3318,200,180,1,1,1
1,0,0,0,1,4230,2782,414,180,1,0,1
0,0,3,1,1,6287,990,172,180,0,2,0
0,0,1,0,1,6160,4920,449,300,1,0,1
0,0,2,0,1,14112,5558,236,180,1,2,1
1,1,1,0,0,9106,2153,198,120,0,0,1
1,0,0,1,0,11689,6324,153,360,1,1,1
0,0,2,0,1,14046,6327,292,300,1,2,1
1,0,0,1,1,5171,225,280,180,1,1,0
0,0,0,0,0,3567,776,255,360,1,1,0
0,1,3,0,0,3151,2837,247,240,1,1,1
0,1,1,1,0,9619,5208,445,180,1,1,0
1,0,2,0,0,8033,687,449,360,1,1,1
1,0,0,0,1,10560,529,386,120,1,0,1
0,0,0,1,0,6946,3442,136,240,1,2,1
0,0,2,1,1,10234,5067,191,120,0,0,0
0,0,0,1,1,3907,5031,366,360,1,0,0
0,0,3,1,1,5490,5518,248,120,0,0,0
1,1,3,1,0,4535,2153,95,360,1,1,1
1,0,3,0,0,6173,1294,337,360,1,0,1
0,1,3,1,1,13065,6094,64,120,1,2,1
0,1,0,0,1,12016,6974,93,360,1,0,1
1,0,2,0,1,3293,1526,450,180,0,1,0
1,1,2,0,0,6769,4774,218,360,1,2,1
0,1,2,1,1,6796,2896,359,300,1,2,0
0,1,2,1,0,8871,3103,93,360,1,2,1
0,1,1,0,1,13578,2440,147,300,0,2,1
1,1,2,1,1,4972,4135,310,360,1,0,0
1,1,1,1,1,5922,6803,158,360,1,1,1
1,0,1,1,0,6997,3802,332,120,1,2,0
0,1,3,1,0,9032,5201,421,180,0,2,0
0,1,1,0,1,2992,844,392,180,1,1,0
1,1,0,0,0,10112,5839,153,240,1,0,1
1,0,1,1,1,7287,6344,305,120,1,2,0
0,1,3,0,0,12578,446,428,120,1,0,1
1,0,1,1,0,4240,3915,255,180,1,0,0
1,1,0,1,0,3476,3109,384,120,0,0,0
0,0,0,0,1,8426,1234,92,180,1,0,1
1,0,0,0,0,13599,6587,402,120,1,2,1
0,1,3,0,0,2389,5446,294,360,0,2,0
0,1,3,1,1,2999,6904,336,180,1,0,0
0,0,2,0,1,14812,226,404,180,1,0,1
0,1,3,1,1,3855,4143,322,300,1,1,0
0,0,0,0,1,10125,2959,132,120,1,1,1
0,0,0,0,0,10850,5558,159,120,0,1,1
0,0,3,1,0,4763,1830,487,180,1,2,0
1,0,1,1,0,5663,3779,239,360,1,1,1
0,0,3,1,0,6986,186,337,360,0,2,0
0,1,3,1,0,3481,6488,473,360,1,2,0
1,0,0,1,1,9256,6367,446,120,1,2,0
1,0,2,1,0,5731,2877,300,300,1,2,0
1,1,0,1,0,9262,2535,261,180,0,1,0
0,0,2,1,0,2451,1932,340,240,1,0,0
1,1,0,0,1,12667,2924,182,300,0,0,1
0,1,3,1,1,13414,848,250,240,1,0,0
0,1,0,1,0,11729,2032,334,300,0,1,0
0,0,0,0,1,5093,1252,375,360,1,0,1
0,0,0,1,1,2882,5509,458,120,1,1,0
1,0,3,0,1,6408,5074,144,240,1,1,1
1,1,3,0,1,6068,5708,327,300,1,1,1
0,0,3,1,1,12758,5112,499,120,0,0,0
0,1,3,0,1,5277,6331,478,240,1,0,1
0,0,2,1,1,10566,1881,374,180,1,0,0
1,1,2,0,0,14738,269,268,300,1,2,1
0,0,1,0,0,13889,1630,138,180,0,1,1
0,0,3,0,1,9951,4405,121,360,1,2,1
1,0,2,1,0,13254,3203,296,180,1,1,0
1,1,0,1,0,6690,6139,178,180,1,0,1
0,1,3,0,1,13442,1574,261,300,0,1,0
1,0,1,0,0,6595,5191,477,360,1,1,1
1,0,1,1,1,6559,2892,392,180,1,2,0
0,1,1,1,1,9291,1695,145,120,1,1,1
1,1,0,0,1,10160,3258,124,240,1,0,1
0,1,2,0,0,2112,6629,472,180,1,1,0
1,0,0,1,0,7131,3262,103,360,1,1,1
0,1,3,1,0,5197,1445,393,180,1,1,0
0,0,1,1,0,12570,6263,462,240,1,2,0
0,1,0,1,1,12116,219,103,360,1,1,1
1,0,0,1,1,2139,52,267,300,0,1,0
0,1,2,0,0,3424,1757,65,360,1,2,1
1,1,2,1,1,4949,5570,148,300,1,2,1
0,1,1,0,1,5168,1666,69,360,0,2,1
0,1,0,1,0,10708,5356,95,240,1,2,1
1,1,0,0,1,12808,6901,242,240,0,0,1
0,0,2,1,0,8043,2785,432,360,1,0,0
0,1,0,1,1,8989,719,107,180,1,1,1
1,1,0,0,0,9236,405,486,240,1,0,1
0,1,0,0,1,8261,6751,160,300,1,1,1
0,0,2,1,1,2887,6565,178,300,0,0,0
0,1,1,1,0,5104,6855,386,120,1,2,0
0,0,3,1,0,2049,2294,243,300,0,2,0
1,1,1,1,0,5951,71,462,120,1,0,0
1,1,3,1,0,5560,5949,389,360,1,0,0
0,0,0,0,1,2018,6328,375,360,1,1,0
1,1,1,0,1,6821,2053,57,360,1,1,1
0,0,3,1,0,8340,1229,78,180,1,1,1
1,0,2,0,1,10058,1567,161,180,1,2,1
0,1,2,0,0,11665,3682,484,120,1,2,1
0,0,1,0,0,14253,2953,210,300,1,2,1
0,1,1,1,1,4606,4482,180,300,1,2,1
0,1,0,0,1,9846,5887,237,360,1,1,1
0,0,1,1,0,10643,698,212,240,1,2,1
0,0,0,0,0,8432,5296,246,180,0,2,1
1,0,0,1,0,5765,826,413,180,1,2,0
0,0,2,0,1,4438,5918,253,360,0,2,0
1,1,2,1,1,14502,348,261,180,1,0,0
0,1,3,1,1,11741,5374,158,360,0,1,0
1,0,2,0,1,8358,3908,325,120,1,1,1
1,1,2,1,0,13666,307,122,300,1,2,1
1,1,1,1,0,10319,3416,216,240,1,0,1
0,1,2,1,0,7941,5246,309,300,1,1,0
0,1,3,1,0,9644,6056,292,300,1,1,0
1,0,1,1,0,6855,2334,324,120,1,2,0
0,0,3,1,0,8547,4861,151,180,1,2,1
1,1,2,1,1,9196,4820,222,240,0,1,0
0,0,3,1,1,7911,2809,220,180,1,1,1
1,0,1,0,0,8481,5715,190,300,1,0,1
1,0,0,0,0,4761,3558,446,360,1,1,1
0,1,3,1,1,6456,4478,237,300,0,1,0
1,1,3,1,1,14856,3477,490,180,1,2,0
0,1,1,0,1,11607,6531,135,300,1,1,1
1,0,1,0,1,8361,4620,101,360,1,2,1
1,1,3,0,0,7693,2686,160,120,1,1,1
0,1,2,1,0,7788,2985,486,180,1,1,0
0,0,3,0,0,2201,275,414,300,1,1,0
0,1,1,1,0,8160,2547,391,180,1,0,0
1,1,0,1,0,12561,2764,92,120,1,2,1
0,0,0,0,1,2517,336,260,300,1,0,0
1,0,2,1,0,9737,1973,249,300,0,1,0
1,0,3,1,1,11533,2979,347,180,0,0,0
0,1,0,1,0,14968,4576,395,180,1,2,0
0,1,3,1,0,3988,3968,289,360,1,1,0
1,1,1,0,0,13737,910,164,120,1,0,1
1,0,0,0,0,14712,1996,75,360,0,0,1
0,0,2,1,0,5802,3129,456,300,0,2,0
0,1,1,1,1,7808,5447,348,180,1,0,0
0,1,2,0,1,13467,6129,126,300,0,2,1
0,0,1,1,1,13846,5850,461,300,1,1,0
0,0,0,0,0,9162,4204,186,240,0,1,1
1,0,2,1,0,12626,3757,69,240,0,0,0
1,0,2,1,1,8241,327,489,300,1,1,0
1,1,1,0,0,10399,1799,260,180,1,1,1
1,0,2,0,0,7633,314,289,300,1,0,1
0,1,1,0,1,7755,3545,88,240,1,1,1
0,1,1,0,0,12825,1134,484,180,1,0,1
0,1,1,1,1,8309,2746,317,300,1,2,0
1,0,1,0,0,6117,4876,256,120,1,2,1
1,0,0,1,1,10345,1520,488,120,1,2,0
0,0,1,0,0,13558,155,316,300,0,0,0
0,0,3,0,0,14506,5592,203,180,1,0,1
1,1,2,1,1,14956,1724,91,300,0,1,0
1,0,3,0,0,3518,3343,460,300,1,1,0
0,0,0,0,0,8163,886,60,240,1,1,1
0,1,3,0,1,4600,3073,343,120,1,1,1
1,0,2,0,0,4195,2805,147,240,1,1,1
0,1,3,1,1,14690,721,476,240,1,0,0
0,1,0,1,0,14883,912,324,300,1,0,0
0,1,1,0,0,5554,3357,497,240,1,2,1
1,1,3,0,0,12606,870,439,120,1,2,1
1,1,0,0,0,4849,4108,479,240,1,2,1
1,1,0,1,1,3742,6751,421,120,1,2,0
1,1,2,1,0,3306,497,279,240,0,0,0
1,1,2,1,1,5849,1756,418,120,0,0,0
1,0,3,1,0,14360,6381,475,240,1,0,0
1,0,1,0,0,14768,1117,269,240,1,1,1
0,0,0,0,0,9519,3409,114,180,1,1,1
0,0,3,0,0,14847,2828,404,120,1,2,1
0,1,0,1,1,6195,5290,281,120,1,1,0
0,0,0,0,1,7178,6100,377,120,1,0,1
0,1,1,1,1,4555,6749,492,360,1,2,0
0,0,1,1,1,4305,6804,101,240,0,2,0
0,0,3,0,0,14700,1647,423,120,1,1,1
1,0,1,0,1,9619,5686,480,360,1,2,1
1,1,1,0,1,11280,6992,425,180,1,1,1
0,0,3,1,0,4642,2983,312,120,1,1,0
0,1,1,1,0,11369,5586,316,120,1,2,0
1,1,2,0,0,8409,6771,408,360,1,1,1
0,0,0,0,0,6757,142,366,240,1,1,1
0,0,0,1,1,4994,5320,373,180,1,1,0
1,0,0,0,1,10751,2761,458,120,0,1,0
0,1,0,1,0,13156,3435,445,240,1,2,0
1,0,3,1,0,3271,6622,203,180,1,0,0
0,1,0,0,0,3813,4660,407,300,1,0,0
1,1,0,0,1,13107,6614,415,300,1,1,1
1,0,0,0,1,10801,2431,189,180,0,1,1
1,0,0,0,0,4461,5811,476,360,0,1,0
0,1,2,1,0,6120,4512,100,180,1,0,1
1,1,0,1,1,8124,1848,166,180,1,1,1
0,1,2,1,0,10475,6451,470,360,1,2,0
0,0,3,0,0,13120,2696,95,360,1,2,1
0,1,1,1,1,6396,1717,358,240,1,2,0
0,0,0,0,0,11283,5486,137,240,1,0,1
1,1,1,0,1,2816,3072,257,360,1,1,0
1,1,1,0,0,9304,1067,426,300,1,1,1
0,0,3,0,0,9331,2786,318,300,1,1,1
0,1,1,0,1,2082,5962,138,180,1,0,1
1,0,2,0,1,3920,5217,430,120,0,0,0
0,0,1,1,0,9817,3791,167,180,1,0,1
1,1,1,0,1,13683,1288,103,180,1,0,1
0,0,1,1,0,13336,3871,490,120,1,2,0
0,0,0,1,0,4093,1806,165,360,0,0,0
1,1,0,0,1,14905,6283,167,300,1,0,1
0,0,2,0,0,9071,1504,309,180,0,0,0
1,0,2,0,0,9967,3308,124,120,0,1,1
0,0,0,1,1,10367,5112,354,240,1,1,0
0,1,2,0,1,7285,5048,56,180,1,1,1
0,0,0,1,0,12896,2951,415,300,1,2,0
1,1,3,0,1,6937,71,171,360,1,2,1
0,1,1,0,1,2369,1690,60,180,0,0,0
0,0,1,1,1,3818,5387,397,180,1,1,0
0,0,2,1,1,4101,1344,487,120,1,2,0
0,0,0,0,0,14977,6250,264,240,1,1,1
1,1,0,1,0,5490,3303,478,240,1,2,0
1,0,2,1,0,3779,3113,328,360,1,2,0
0,0,0,1,1,9674,882,77,300,1,0,1
1,0,3,1,1,3364,4234,284,360,0,0,0
0,0,1,1,1,9294,2662,416,180,1,2,0
0,0,2,0,1,14654,6416,362,180,1,0,1
0,1,2,0,1,13534,1504,75,240,0,2,1
1,1,0,1,1,14931,2463,458,300,1,2,0
1,0,2,0,1,5676,2553,103,120,1,1,1
1,0,3,0,0,4426,732,78,300,1,0,1
1,0,0,1,0,10264,1748,402,180,0,0,0
1,0,0,0,1,10089,3924,213,120,0,0,1
1,1,0,1,1,4962,423,319,300,1,1,0
1,0,0,1,1,2859,3478,383,300,1,1,0
1,1,3,0,0,14048,1591,84,120,1,1,1
1,1,0,1,0,6138,4485,335,180,1,0,0
0,0,2,1,1,4424,4437,397,300,1,0,0
1,1,3,1,1,11256,5041,322,120,1,0,0
1,1,1,1,0,12409,4709,257,180,1,1,0
1,1,1,1,0,6017,492,287,120,1,1,0
1,1,2,0,0,12451,191,463,120,1,2,1
1,0,2,0,0,13943,498,142,300,0,1,1
1,0,3,1,1,12278,4917,222,180,1,2,1
1,1,1,1,0,10560,5831,128,300,1,0,1
1,0,1,0,0,12996,1256,159,360,1,1,1
1,0,1,1,1,10342,1968,266,360,1,0,0
1,0,1,0,0,3134,4322,484,180,1,0,0
1,0,1,1,0,7166,5490,407,120,1,0,0
0,0,0,1,0,7119,2186,155,300,1,0,1
0,1,2,1,1,7694,6999,96,300,1,1,1
1,0,0,1,0,12976,816,230,180,1,0,1
1,0,1,1,1,8136,3220,113,180,1,2,1
0,0,3,1,1,7485,1473,295,360,1,1,0
